date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_hazardous,miss_distance_km,relative_velocity_kph
2019-01-07,2512245,512245 (2016 AU8),19.91,0.2770479727,0.6194981001,False,23047396.878990497,24157.5856885302
2019-01-07,3611397,(2012 TR146),23.7,0.0483676488,0.1081533507,False,65980163.033100074,14982.3979159552
2019-01-07,3702963,(2014 YP9),23.3,0.058150704,0.130028927,False,55176025.927687767,101836.8203956384
2019-01-07,3739246,(2016 AZ8),21.07,0.1623883902,0.3631114793,True,4454451.518999178,32927.9426822638
2019-01-07,3752902,(2016 JG12),22.55,0.0821400526,0.1836707413,False,19454791.135604103,24945.5636672018
2019-01-07,3775710,(2017 MZ),22.6,0.0802703167,0.1794898848,False,14237679.592448487,50182.7931667598
2019-01-07,3825646,(2018 NJ4),21.95,0.1082816778,0.2421251924,False,40783404.934041389,51518.1661479806
2019-01-07,3837745,(2019 AR7),26.7,0.0121494041,0.0271668934,False,1330289.095756858,15020.4432313737
2019-01-07,3838004,(2019 AV14),24.5,0.0334622374,0.0748238376,False,12406593.914478821,85566.3837665731
2019-01-07,54103334,(2020 YA5),24.4,0.0350392641,0.0783501764,False,20435873.085671889,52940.1385820844
2019-01-07,54278443,(2022 JV1),27.52,0.0083282735,0.0186225856,False,40658362.522176586,19782.886652612
2019-01-07,54335006,(2022 XW1),25.17,0.0245784775,0.0549591464,False,18354712.397592889,19444.414837314
2019-01-07,54419488,(2024 AT1),21.79,0.1165614595,0.2606393469,True,70691499.825722892,125543.3698426871
2019-01-06,3801993,(2018 FG1),27.3,0.0092162655,0.0206081961,False,62924922.41301736,32335.6720901418
2019-01-06,3825161,(2018 LP3),25.7,0.0192555078,0.0430566244,False,69799284.784912888,31398.0963556716
2019-01-06,3825580,(2018 NP1),20.94,0.1724070324,0.3855138443,False,31387216.813931181,63156.7069132475
2019-01-06,3826811,(2018 PG22),21.29,0.1467421834,0.3281254972,False,34200549.121225731,43264.1575969315
2019-01-06,3829489,(2018 RW7),21.61,0.1266353563,0.283165265,False,23925512.709507463,27675.8131541444
2019-01-06,3836902,(2018 XO4),25.4,0.022108281,0.0494356193,False,3016537.97561757,14326.1324243376
2019-01-06,3837608,(2019 AJ3),24.3,0.0366906138,0.0820427065,False,7199413.9495157,36451.189181596
2019-01-06,3837818,(2019 AZ9),25.0,0.02658,0.0594346868,False,5717651.968935623,44669.2315139683
2019-01-06,3837823,(2019 AJ10),21.6,0.1272198785,0.2844722965,False,34484473.581540817,73848.094659284
2019-01-06,3837822,(2019 AH10),22.6,0.0802703167,0.1794898848,False,22858015.489995029,50604.5636998024
2019-01-06,54054609,(2020 SK4),30.38,0.0022312846,0.0049893041,False,31516934.518268372,19194.1792165449
2019-01-06,54105263,(2021 AZ4),21.45,0.1363185559,0.3048175575,False,53349456.250378513,96158.6730040018
2019-01-06,2566540,566540 (2018 RW7),21.61,0.1266353563,0.283165265,False,23925512.709507463,27675.8131595942
2019-01-06,2585428,585428 (2018 NP1),20.97,0.1700415193,0.3802243961,False,31387212.954306135,63156.7119324182
2019-01-06,54278445,(2022 JU1),24.98,0.0268259417,0.0599846292,False,24926299.2870974,40882.9658960056
2019-01-06,54360001,(2023 KN3),20.99,0.1684825693,0.3767384779,False,74727513.521151203,120871.9556193488
2019-01-06,54507527,(2024 YM),27.39,0.0088420909,0.0197715164,False,20680234.893286775,50630.5404193565
2019-01-05,2267729,267729 (2003 FC5),18.46,0.5402004935,1.207925025,True,37240103.970805122,47941.4844524606
2019-01-05,3398656,(2007 YU56),22.1,0.1010543415,0.2259643771,False,10477274.42117898,39902.159104744
2019-01-05,3638287,(2013 JL14),24.5,0.0334622374,0.0748238376,False,40082736.172842771,40875.9809358798
2019-01-05,3761734,(2016 UN36),24.2,0.0384197891,0.0859092601,False,37579068.509370182,39004.4277318722
2019-01-05,3797461,(2018 AS2),28.6,0.0050647146,0.0113250461,False,40288315.794805034,55760.8559618412
2019-01-05,3836718,(2018 XH),22.08,0.1019893859,0.2280551997,False,14773678.348646735,25921.5060915726
2019-01-05,3837535,(2018 YR2),26.6,0.0127219879,0.0284472297,False,3479687.341297871,18793.4466852342
2019-01-05,3837544,(2019 AC),20.79,0.1847374636,0.4130855266,False,40391191.811558753,23176.8206130774
2019-01-05,3837601,(2019 AB3),24.62,0.0316632126,0.0708010957,False,24371964.454611335,20326.0509526415
2019-01-05,3837610,(2019 AH3),28.22,0.0060333008,0.0134908707,False,512883.027963931,64761.1096177123
2019-01-05,3837563,(2019 AU),26.7,0.0121494041,0.0271668934,False,2987687.024082341,11209.4473425675
2019-01-05,3879275,(2019 UU1),30.4,0.0022108281,0.0049435619,False,48102498.301541114,26680.5655162853
2019-01-05,54159402,(2021 LE6),22.31,0.0917392059,0.2051351006,False,68733046.177160125,85156.0006705308
2019-01-05,54228654,(2021 XO3),24.85,0.0284809831,0.0636854144,False,30618797.182021021,66763.0436127293
2019-01-05,54248634,(2022 DX3),25.38,0.0223128464,0.0498930414,False,43722151.478706627,45444.6068904569
2019-01-05,54289751,(2022 NX),26.66,0.0123752784,0.0276719637,False,49851878.395088833,40301.6469116292
2019-01-05,54297319,(2022 QR3),26.04,0.0164647438,0.0368162863,False,67684460.566860972,29011.3764983333
2019-01-05,54439716,(2024 JQ1),27.09,0.0101520787,0.0227007381,False,54325112.988811388,48760.6214218345
2019-01-05,54486545,(2024 TK),23.09,0.0640552863,0.1432319745,False,73756649.778794832,37546.5509010108
2019-01-05,2872894,872894 (2018 XH),22.08,0.1019893859,0.2280551997,False,14773678.348646735,25921.506097189
2019-01-04,3263453,(2004 XP14),19.4,0.3503926411,0.7835017643,True,10937297.610250317,61835.714119913
2019-01-04,3379718,(2007 NL1),21.22,0.1515496636,0.3388753497,False,25644193.88399163,37999.4497043396
2019-01-04,3520754,(2010 JT39),23.76,0.0470494961,0.1052058716,False,64730992.51468307,26959.4676988484
2019-01-04,3625335,(2013 BC70),24.1,0.040230458,0.0899580388,False,17117473.461211984,39461.9621121403
2019-01-04,3655745,(2014 AD16),27.4,0.0088014652,0.0196806745,False,4931760.532511997,33680.6489269218
2019-01-04,3757046,(2016 PT8),23.9,0.04411182,0.0986370281,False,4851314.517276089,47554.6633642282
2019-01-04,3795026,(2017 YU3),23.9,0.04411182,0.0986370281,False,43037305.968453862,82567.5876828871
2019-01-04,3795086,(2017 YQ5),24.7,0.0305179233,0.0682401509,False,18499721.906442758,35680.0330419723
2019-01-04,3802002,(2018 FU1),26.8,0.0116025908,0.0259441818,False,35000612.622105085,17484.0020463981
2019-01-04,3827321,(2018 RD2),27.08,0.0101989386,0.02280552,False,47362403.94921079,28433.1209171678
2019-01-04,3831886,(2018 UZ),19.8,0.2914439045,0.6516883822,False,42769476.159540383,55824.2468518338
2019-01-04,3837533,(2018 YP2),25.4,0.022108281,0.0494356193,False,5368095.168145,61121.829226747
2019-01-04,3837939,(2018 YG4),27.06,0.0102933082,0.0230165369,False,3081183.867738327,33186.8672771501
2019-01-04,3837546,(2019 AB),26.42,0.0138214936,0.0309057992,False,550459.499663715,35324.4360055967
2019-01-04,3837643,(2019 AX3),27.5,0.008405334,0.0187948982,False,3522772.38056573,11914.8349712902
2019-01-04,3837746,(2019 AV7),23.7,0.0483676488,0.1081533507,False,12623733.756724695,60643.673027303
2019-01-04,3879237,(2019 UX),26.07,0.016238839,0.0363111479,False,56365749.364202467,29597.1425017267
2019-01-04,54178643,(2021 PK2),23.84,0.0453476699,0.1014004725,False,29002889.445031114,25566.2455025374
2019-01-04,54218591,(2021 VC9),27.06,0.0102933082,0.0230165369,False,30271611.372831815,28750.585220224
2019-01-04,54222543,(2021 WJ),23.77,0.0468333233,0.1047224945,False,71064971.072735549,41750.5668318446
2019-01-04,2612901,612901 (2004 XP14),19.79,0.2927891485,0.6546964391,True,10937302.576899601,61835.7155201226
2019-01-03,2357022,357022 (1999 YG3),19.07,0.407901194,0.912094798,True,48650349.921376267,93246.7684443793
2019-01-03,3483204,(2009 XQ1),22.33,0.0908981358,0.2032544107,False,28335192.428375171,42063.284260039
2019-01-03,3763271,(2016 VS),27.4,0.0088014652,0.0196806745,False,37757785.649645043,30232.4709122092
2019-01-03,3827307,(2018 RP1),24.3,0.0366906138,0.0820427065,False,49863805.743505211,13579.397858169
2019-01-03,3836970,(2018 YZ),21.6,0.1272198785,0.2844722965,False,44118824.038895028,54016.031148215
2019-01-03,3837644,(2019 AY3),23.82,0.0457672667,0.1023387195,False,5041717.659723657,69853.0726801836
2019-01-03,3837674,(2019 AD5),22.81,0.0728710415,0.1629446024,False,7512887.025992547,53145.938098881
2019-01-03,3843878,(2019 SJ),27.62,0.0079534394,0.0177844312,False,55721594.773785442,25506.2262433751
2019-01-03,3959223,(2019 YB4),26.8,0.0116025908,0.0259441818,False,3655641.31915511,23695.7856717338
2019-01-03,54051168,(2020 QU),23.4,0.0555334912,0.1241766613,False,65545017.176941026,68202.8671043387
2019-01-03,54053939,(2020 RD4),29.7,0.0030517923,0.0068240151,False,52651209.55349413,47155.2044765504
2019-01-03,54159401,(2021 LD6),27.2,0.0096506147,0.0215794305,False,9356207.102006766,5659.5048783021
2019-01-03,54230079,(2021 XE6),24.23,0.0378926498,0.0847305409,False,18946211.215571787,44734.7986260458
2019-01-03,54338282,(2022 YN7),20.55,0.2063264836,0.4613600429,False,27483253.622105267,62028.2009925554
2019-01-03,54416590,(2023 XX11),20.95,0.1716148941,0.3837425691,False,45947900.063958475,88416.5438049271
2019-01-02,2532874,532874 (2013 YZ13),19.64,0.313729225,0.7015198735,False,73074602.152625316,88051.8077222548
2019-01-02,3079950,(2001 OT),21.7,0.1214940408,0.2716689341,False,51118999.939836061,50154.6989991236
2019-01-02,3313739,(2006 BA9),22.7,0.0766575574,0.1714115092,False,34950317.339497901,65149.2632274919
2019-01-02,3607626,(2012 PK24),23.64,0.0497227313,0.1111834072,False,27179551.724984701,31290.5431272348
2019-01-02,3621604,(2012 YK),23.0,0.0667659413,0.1492931834,False,16961882.805258293,46353.6246037961
2019-01-02,3739378,(2016 AV64),27.18,0.0097399107,0.0217791025,False,1129914.252968061,53936.1223888
